impl,threads,workload,ops,key_range,time,throughput,successful,failed
coarse,1,mixed,1000000,100000,0.4182,2391044.98,496105,503895
coarse,2,mixed,2000000,100000,0.9949,2010240.94,1035239,964761
coarse,4,mixed,4000000,100000,3.1984,1250607.69,2114017,1885983
coarse,8,mixed,8000000,100000,9.4270,848628.13,4274810,3725190
coarse,16,mixed,16000000,100000,22.9910,695923.27,8595623,7404377
coarse,32,mixed,32000000,100000,57.3080,558386.38,17238924,14761076
fine,1,mixed,1000000,100000,0.4198,2381973.65,496105,503895
fine,2,mixed,2000000,100000,0.7087,2821959.38,1034587,965413
fine,4,mixed,4000000,100000,2.3400,1709409.32,2114816,1885184
fine,8,mixed,8000000,100000,6.4853,1233552.52,4274979,3725021
fine,16,mixed,16000000,100000,16.0802,995012.33,8593954,7406046
fine,32,mixed,32000000,100000,45.6315,701270.15,17230111,14769889
lockfree,1,mixed,1000000,100000,0.4427,2258928.20,496105,503895
lockfree,2,mixed,2000000,100000,0.7328,2729293.44,1034429,965571
lockfree,4,mixed,4000000,100000,2.3865,1676094.32,2114832,1885168
lockfree,8,mixed,8000000,100000,6.5229,1226446.65,4274204,3725796
lockfree,16,mixed,16000000,100000,15.2732,1047584.21,8592688,7407312
lockfree,32,mixed,32000000,100000,40.3581,792901.84,17233176,14766824
coarse,8,insert,8000000,100000,7.6961,1039486.73,100000,7900000
coarse,8,readonly,8000000,100000,5.3728,1488983.18,3280221,4719779
coarse,8,mixed,8000000,100000,9.7826,817780.93,4269914,3730086
coarse,8,delete,8000000,100000,3.3371,2397312.15,41004,7958996
fine,8,insert,8000000,100000,6.1658,1297470.83,100000,7900000
fine,8,readonly,8000000,100000,1.1862,6744178.09,3280221,4719779
fine,8,mixed,8000000,100000,6.7781,1180275.81,4271871,3728129
fine,8,delete,8000000,100000,3.5513,2252685.35,41004,7958996
lockfree,8,insert,8000000,100000,7.5522,1059294.94,100000,7900000
lockfree,8,readonly,8000000,100000,0.4229,18917042.54,3280221,4719779
lockfree,8,mixed,8000000,100000,6.3355,1262726.48,4269873,3730127
lockfree,8,delete,8000000,100000,4.0884,1956778.24,41004,7958996
coarse,16,mixed,16000000,1000,21.2976,751258.28,8637800,7362200
coarse,16,mixed,16000000,10000,21.3823,748281.27,8640275,7359725
coarse,16,mixed,16000000,100000,23.8293,671441.75,8591349,7408651
coarse,16,mixed,16000000,1000000,28.4182,563018.73,8144444,7855556
fine,16,mixed,16000000,1000,16.0537,996655.62,8639893,7360107
fine,16,mixed,16000000,10000,15.8547,1009164.50,8638482,7361518
fine,16,mixed,16000000,100000,16.3396,979213.79,8594269,7405731
fine,16,mixed,16000000,1000000,20.2105,791669.53,8151596,7848404
lockfree,16,mixed,16000000,1000,14.1404,1131507.76,8637461,7362539
lockfree,16,mixed,16000000,10000,14.2081,1126115.37,8636803,7363197
lockfree,16,mixed,16000000,100000,16.1517,990605.81,8596362,7403638
lockfree,16,mixed,16000000,1000000,19.3019,828935.86,8152316,7847684
