impl,threads,workload,ops,key_range,time,throughput,successful,failed
coarse,1,mixed,1000000,100000,0.5922,1688749.87,496105,503895
coarse,2,mixed,2000000,100000,2.5048,798476.16,1034033,965967
coarse,4,mixed,4000000,100000,3.9585,1010477.48,2114095,1885905
coarse,8,mixed,8000000,100000,13.2656,603061.36,4274275,3725725
coarse,16,mixed,16000000,100000,39.0143,410106.12,8591068,7408932
coarse,32,mixed,32000000,100000,110.7021,289064.10,17233753,14766247
fine,1,mixed,1000000,100000,0.6678,1497539.04,496105,503895
fine,2,mixed,2000000,100000,0.7751,2580330.53,1034763,965237
fine,4,mixed,4000000,100000,0.9880,4048433.85,2115398,1884602
fine,8,mixed,8000000,100000,1.3092,6110623.08,4273836,3726164
fine,16,mixed,16000000,100000,2.1848,7323358.61,8592967,7407033
fine,32,mixed,32000000,100000,4.2863,7465618.85,17229442,14770558
lockfree,1,mixed,1000000,100000,0.5783,1729205.29,496105,503895
lockfree,2,mixed,2000000,100000,1.0466,1911006.22,1035346,964654
lockfree,4,mixed,4000000,100000,1.4143,2828266.93,2114949,1885051
lockfree,8,mixed,8000000,100000,1.8855,4242826.00,4274198,3725802
lockfree,16,mixed,16000000,100000,1.6934,9448433.51,8592473,7407527
lockfree,32,mixed,32000000,100000,4.1064,7792769.35,17233113,14766887
coarse,8,insert,8000000,100000,8.3442,958747.78,100000,7900000
coarse,8,readonly,8000000,100000,8.1022,987384.44,3280221,4719779
coarse,8,mixed,8000000,100000,8.4385,948037.24,4270005,3729995
coarse,8,delete,8000000,100000,4.1066,1948082.14,41004,7958996
fine,8,insert,8000000,100000,0.8764,9128471.39,100000,7900000
fine,8,readonly,8000000,100000,0.7590,10540004.10,3280221,4719779
fine,8,mixed,8000000,100000,2.0421,3917460.87,4271670,3728330
fine,8,delete,8000000,100000,0.1260,63515076.28,41004,7958996
lockfree,8,insert,8000000,100000,0.7777,10287345.63,100000,7900000
lockfree,8,readonly,8000000,100000,0.8866,9023479.15,3280221,4719779
lockfree,8,mixed,8000000,100000,1.6811,4758677.15,4270386,3729614
lockfree,8,delete,8000000,100000,0.1655,48347471.64,41004,7958996
coarse,16,mixed,16000000,1000,27.8266,574989.40,8636207,7363793
coarse,16,mixed,16000000,10000,21.2459,753085.95,8639056,7360944
coarse,16,mixed,16000000,100000,36.2232,441705.55,8593371,7406629
coarse,16,mixed,16000000,1000000,39.0593,409633.88,8148066,7851934
fine,16,mixed,16000000,1000,5.4330,2944988.43,8613663,7386337
fine,16,mixed,16000000,10000,3.6585,4373405.02,8634401,7365599
fine,16,mixed,16000000,100000,2.1754,7355033.71,8596145,7403855
fine,16,mixed,16000000,1000000,3.0972,5165912.36,8155692,7844308
lockfree,16,mixed,16000000,1000,1.2535,12764174.22,8622921,7377079
lockfree,16,mixed,16000000,10000,1.8416,8688114.21,8639471,7360529
lockfree,16,mixed,16000000,100000,1.7348,9222774.57,8583820,7416180
lockfree,16,mixed,16000000,1000000,2.9147,5489429.00,8163135,7836865
